"","data.id","data.text","meta.newest_id","meta.oldest_id","meta.result_count","meta.next_token"
"1","1519808846994284545","@Milovana_C Rule of threes (survival)

3 minutes minutes without breathable air 
3 days without drinkable water 
3 weeks without food                                But endless weapons is the solution  he asks for? What is the nutritional value of a Javelin?","1519808846994284545","1519787522318032896",100,"b26v89c19zqg8o3fpytotbqr207i768ngnxj8r2zqamil"
"2","1519808590411931649","RT @darkgrayallday: Heard it was #EatYourFriendsDay ?! Well, lucky for BaSURA &amp; Summer, we have plenty of friends! And what better way to s¡­","1519808846994284545","1519787522318032896",100,"b26v89c19zqg8o3fpytotbqr207i768ngnxj8r2zqamil"
"3","1519807600363245568","@gbosslet What's the nutritional value of that stuff? Jus' asking'... https://t.co/J6YnXwUHXt","1519808846994284545","1519787522318032896",100,"b26v89c19zqg8o3fpytotbqr207i768ngnxj8r2zqamil"
"4","1519807553835782144","Wild Caught is 10000% the superior with the nutritional benefits.. regular salmon literally doesn¡¯t compare..great choice https://t.co/Gb0judncVW","1519808846994284545","1519787522318032896",100,"b26v89c19zqg8o3fpytotbqr207i768ngnxj8r2zqamil"
"5","1519807191263416320","RT @hormonedietdoc: Diet soda negatively affects a low carb health plan by stimulating the brain to signal hunger after ingesting something¡­","1519808846994284545","1519787522318032896",100,"b26v89c19zqg8o3fpytotbqr207i768ngnxj8r2zqamil"
"6","1519807182392504322","RT @Fitnesshacker_: If you are struggling with your diet, trust me when I say supplements, fasting, pills, sleep and dare I say exercise mi¡­","1519808846994284545","1519787522318032896",100,"b26v89c19zqg8o3fpytotbqr207i768ngnxj8r2zqamil"
"7","1519806640802783233","RT @hormonedietdoc: Diet soda negatively affects a low carb health plan by stimulating the brain to signal hunger after ingesting something¡­","1519808846994284545","1519787522318032896",100,"b26v89c19zqg8o3fpytotbqr207i768ngnxj8r2zqamil"
"8","1519806611547688963","RT @hormonedietdoc: Diet soda negatively affects a low carb health plan by stimulating the brain to signal hunger after ingesting something¡­","1519808846994284545","1519787522318032896",100,"b26v89c19zqg8o3fpytotbqr207i768ngnxj8r2zqamil"
"9","1519806413492858880","RT @MarkSchatzker: Four years ago, a scientist I'd never met approached me and said: ""I think you are probably wrong.""

Instead of arguing,¡­","1519808846994284545","1519787522318032896",100,"b26v89c19zqg8o3fpytotbqr207i768ngnxj8r2zqamil"
"10","1519806239106027520","RT @hormonedietdoc: Diet soda negatively affects a low carb health plan by stimulating the brain to signal hunger after ingesting something¡­","1519808846994284545","1519787522318032896",100,"b26v89c19zqg8o3fpytotbqr207i768ngnxj8r2zqamil"
"11","1519805796317597702","RT @hormonedietdoc: Diet soda negatively affects a low carb health plan by stimulating the brain to signal hunger after ingesting something¡­","1519808846994284545","1519787522318032896",100,"b26v89c19zqg8o3fpytotbqr207i768ngnxj8r2zqamil"
"12","1519805576368340995","RT @neo_tigray: Catastrophic humanitarian crisis in #Tigray. No medicine, No medical Centers. No nutritional supplements for malnourished c¡­","1519808846994284545","1519787522318032896",100,"b26v89c19zqg8o3fpytotbqr207i768ngnxj8r2zqamil"
