"","data.id","data.text","meta.newest_id","meta.oldest_id","meta.result_count","meta.next_token"
"1","1519490279476187137","https://t.co/DdcG8eMGTD - Discount Vitamins | Nutritional Supplements | Bodybuilding Supplements https://t.co/4zB9bjeywg","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"2","1519490234395803648","@cpsavesoil @gvprasad @drreddys 52% of agricultural soils are already degraded. 2 billion people are suffering from nutritional deficiencies.

#SaveSoil is a global movement to address soil crisis through global policy changes. We need public support to make it a success, plz share the msg <U+0001F64F> https://t.co/uT5OeeeaGI","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"3","1519490202980470787","@cpsavesoil @SadhguruJV 52% of agricultural soils are already degraded. 2 billion people are suffering from nutritional deficiencies.

#SaveSoil is a global movement to address soil crisis through global policy changes. We need public support to make it a success, plz share the msg <U+0001F64F> https://t.co/HcftrPLkPN","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"4","1519490169279336451","@cpsavesoil @SadhguruJV 52% of agricultural soils are already degraded. 2 billion people are suffering from nutritional deficiencies.

#SaveSoil is a global movement to address soil crisis through global policy changes. We need public support to make it a success, plz share the msg <U+0001F64F> https://t.co/553OdESOHx","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"5","1519490130620436480","@kushpatel124 @cpsavesoil @NJIT @njitgreen @viralrana90 @DalalKalp 52% of agricultural soils are already degraded. 2 billion people are suffering from nutritional deficiencies.

#SaveSoil is a global movement to address soil crisis through global policy changes. We need public support to make it a success, plz share the msg <U+0001F64F> https://t.co/sdPLnpC8ia","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"6","1519490072474759170","@kushpatel124 @SamipJoshi @viralrana90 @MShubbhi 52% of agricultural soils are already degraded. 2 billion people are suffering from nutritional deficiencies.

#SaveSoil is a global movement to address soil crisis through global policy changes. We need public support to make it a success, plz share the msg <U+0001F64F> https://t.co/00q8gP7iMe","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"7","1519490052736180224","RT @Square1Wellness: The nutritional history less spoken. #lchf #keto","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"8","1519490014006194176","@kushpatel124 @PatrickDiegnan @NJGov @NewJerseyDEP @MShubbhi @viralrana90 @patelpriyamp @DalalKalp 52% of agricultural soils are already degraded. 2 billion people are suffering from nutritional deficiencies.

#SaveSoil is a global movement to address soil crisis through global policy changes. We need public support to make it a success, plz share the msg <U+0001F64F> https://t.co/DVJtcPwBw0","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"9","1519489967432548352","@Ksareen30 52% of agricultural soils are already degraded. 2 billion people are suffering from nutritional deficiencies.

#SaveSoil is a global movement to address soil crisis through global policy changes. We need public support to make it a success, plz share the msg <U+0001F64F> https://t.co/SmUzP5iiP2","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"10","1519489870737125376","RT @Zurvita: Happy #EarthDay Zurvita Family <U+0001F30E>! Zeal is a 100% plant based nutritional drink mix with over 55 whole food nutrients 

<U+00A1>Feliz¡­","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"11","1519489846078803968","@cpsavesoil @SadhguruJV 52% of agricultural soils are already degraded. 2 billion people are suffering from nutritional deficiencies.

#SaveSoil is a global movement to address soil crisis through global policy changes. We need public support to make it a success, plz share the msg <U+0001F64F> https://t.co/nQwl0rjMty","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"12","1519489784892243968","These four nutritional tips are not only good for your health, but can also help improve life with multiple sclerosis- via @healthing_ca
 
#multiplesclerosis #healthing #health #canada  https://t.co/ZL0YTfSxPq","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"13","1519488900204531713","Made these bomb ass chicken sliders with some air fried broccoli and nutritional yeast as the ¡°cheese¡±¡­ bitch I¡¯m good good https://t.co/L6Dpiprux1","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"14","1519488557479464960","RT @IGNSEA: Kudos to @AgateInt and their latest game!

#HealthHeroes #AgateInternational #FondationBotnar

https://t.co/5EfKD3ZlMs","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"15","1519488321470218240","DrGundry: There are PLENTY of superfoods that can help improve your health including seaweed! To find out more nutritional rockstars check out this video - https://t.co/B3yzbeSdQ8

#GundryMD https://t.co/zGrsbrcIfN","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"16","1519487407606927362","These four nutritional tips are not only good for your health, but can also help improve life with multiple sclerosis- via @healthing_ca
 
#multiplesclerosis #healthing #health #canada   https://t.co/sGWQ4oKdoX","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"17","1519487388866818049","RT @AnnJohn30914404: Kellogg's taking the govt to court on rules to stop high sugar cereals being prominently displayed in shops &amp; says rul¡­","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"18","1519487267693203456","RT @APTAOncology: <U+0001F525> HOT OFF THE PRESS <U+0001F525>

Nutritional and Exercise Interventions in Cancer-Related Cachexia: An Extensive Narrative Review¡­","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"19","1519487253411614720","@mukundsahay86 @GovindaSharnam You're a sick bastard, You have a problem with the Muslims and now with the Christians, if we converted for a rice bag it speaks volumes about your religion. By the way rice has a lot of nutritional value compared to the shit you eat (dung) and the piss you drink (gau mutr) <U+0001F602><U+0001F602>","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"20","1519487185946218496","RT @MarkSchatzker: Four years ago, a scientist I'd never met approached me and said: ""I think you are probably wrong.""

Instead of arguing,¡­","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"21","1519487113145708544","@Foshee13144 @hane_1964 I'll tell you what a crazy gene my dad had: after retiring he became an RN and spent most of another 20yr career administering intravenous life-extending nutritional supplements and drugs to AIDS patients in the early days. Even stuck himself more than once!","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"22","1519486086099181568","These four nutritional tips are not only good for your health, but can also help improve life with multiple sclerosis- via @healthing_ca
 
#multiplesclerosis #healthing #health #canada  https://t.co/C7Lwc9PwPf","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"23","1519485659827818497","RT @DiscoverSelf: Burmese Chicken Soup With Sweet Potatoes And Spices ¨C What a great way to celebrate the taste and the #Nutritional benefi¡­","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"24","1519485357456506881","@yhoshizaki Nutritional breakfast https://t.co/3MyHGKRHoL","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"25","1519485267538853890","RT @TheProjectUnity: How are you going to tell me that nature is blind and dumb when Mother Tree's will purposefully divert nutritional sou¡­","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"26","1519485093034745857","RT @InsideTheGators: I'm getting old, because this is exactly what coaches in sports do, they complain about players' eating habits and bod¡­","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"27","1519484433694224384","For #Trans People, Nutritional Guidelines Are Limiting - Healthline https://t.co/OIiPQFxdgI https://t.co/scDSdbNawZ https://t.co/3JSGhJcGSk","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"28","1519484366933659653","<U+2709><U+FE0F><U+0001F338>| Take a second to check in with your body- especially in terms of the nutritional value you've been ingesting","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"29","1519484290819674112","Beef cattle that have just calved and are in lactation have a high nutritional demand on their bodies.https://t.co/G6jWB6qvYn","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"30","1519484169818042368","The nutritional history less spoken. #lchf #keto https://t.co/p85f72wn3e","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
"31","1519483684407197696","These four nutritional tips are not only good for your health, but can also help improve life with multiple sclerosis- via @healthing_ca
 
#multiplesclerosis #healthing #health #canada  https://t.co/GdnLS5EYsy","1519490279476187137","1519463241172275201",100,"b26v89c19zqg8o3fpytot5byv2g3pqnalnay9vk7grlh9"
